Date : 2026-04-27 14:00:42
Directory : /home/dharon/watum
Total : 718 files,  115427 codes, 10237 comments, 20628 blanks, all 146292 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/lib/validations                                                                                                             |         10 |        129 |          0 |         37 |        166 |
| src/routes                                                                                                                      |         20 |     15,360 |         37 |        953 |     16,350 |
| src/routes (Files)                                                                                                              |          3 |      9,350 |          0 |        650 |     10,000 |
| src/routes/auth                                                                                                                 |          2 |         35 |          0 |          8 |         43 |
| src/routes/auth (Files)                                                                                                         |          1 |         23 |          0 |          5 |         28 |
| src/routes/auth/refresh                                                                                                         |          1 |         12 |          0 |          3 |         15 |
| src/routes/classrooms                                                                                                           |          1 |        559 |          3 |         43 |        605 |
| src/routes/courses                                                                                                              |          1 |        254 |          0 |         17 |        271 |
| src/routes/demo                                                                                                                 |          3 |         16 |          0 |          5 |         21 |
| src/routes/demo (Files)                                                                                                         |          1 |          7 |          0 |          2 |          9 |
| src/routes/demo/playwright                                                                                                      |          2 |          9 |          0 |          3 |         12 |
| src/routes/enrollments                                                                                                          |          1 |        955 |         19 |         62 |      1,036 |
| src/routes/faculties                                                                                                            |          1 |        150 |          0 |          9 |        159 |
| src/routes/grades                                                                                                               |          1 |        663 |          7 |         46 |        716 |
| src/routes/health                                                                                                               |          1 |          4 |          0 |          2 |          6 |
| src/routes/lecturers                                                                                                            |          1 |        228 |          0 |         15 |        243 |
| src/routes/ready                                                                                                                |          1 |         10 |          0 |          2 |         12 |
| src/routes/students                                                                                                             |          1 |        282 |          0 |         20 |        302 |
| src/routes/study-programs                                                                                                       |          1 |        198 |          0 |          9 |        207 |
| src/routes/test                                                                                                                 |          1 |      2,242 |          0 |         30 |      2,272 |
| src/routes/users                                                                                                                |          1 |        414 |          8 |         35 |        457 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                        | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/dharon/watum/.agents/skills/adapt/SKILL.md                                                                                | Markdown           |        151 |          0 |         48 |        199 |
| /home/dharon/watum/.agents/skills/animate/SKILL.md                                                                              | Markdown           |        137 |          0 |         38 |        175 |
| /home/dharon/watum/.agents/skills/audit/SKILL.md                                                                                | Markdown           |        104 |          0 |         44 |        148 |
| /home/dharon/watum/.agents/skills/bolder/SKILL.md                                                                               | Markdown           |         88 |          0 |         29 |        117 |
| /home/dharon/watum/.agents/skills/clarify/SKILL.md                                                                              | Markdown           |        140 |          0 |         43 |        183 |
| /home/dharon/watum/.agents/skills/colorize/SKILL.md                                                                             | Markdown           |        108 |          0 |         35 |        143 |
| /home/dharon/watum/.agents/skills/critique/SKILL.md                                                                             | Markdown           |        159 |          0 |         66 |        225 |
| /home/dharon/watum/.agents/skills/critique/reference/cognitive-load.md                                                          | Markdown           |         77 |          0 |         30 |        107 |
| /home/dharon/watum/.agents/skills/critique/reference/heuristics-scoring.md                                                      | Markdown           |        183 |          0 |         52 |        235 |
| /home/dharon/watum/.agents/skills/critique/reference/personas.md                                                                | Markdown           |        133 |          0 |         46 |        179 |
| /home/dharon/watum/.agents/skills/delight/SKILL.md                                                                              | Markdown           |        238 |          0 |         66 |        304 |
| /home/dharon/watum/.agents/skills/distill/SKILL.md                                                                              | Markdown           |         93 |          0 |         29 |        122 |
| /home/dharon/watum/.agents/skills/impeccable/SKILL.md                                                                           | Markdown           |        252 |          0 |        119 |        371 |
| /home/dharon/watum/.agents/skills/impeccable/reference/color-and-contrast.md                                                    | Markdown           |         65 |          0 |         41 |        106 |
| /home/dharon/watum/.agents/skills/impeccable/reference/craft.md                                                                 | Markdown           |         48 |          0 |         23 |         71 |
| /home/dharon/watum/.agents/skills/impeccable/reference/extract.md                                                               | Markdown           |         47 |          0 |         24 |         71 |
| /home/dharon/watum/.agents/skills/impeccable/reference/interaction-design.md                                                    | Markdown           |        133 |          3 |         60 |        196 |
| /home/dharon/watum/.agents/skills/impeccable/reference/motion-design.md                                                         | Markdown           |         66 |          0 |         34 |        100 |
| /home/dharon/watum/.agents/skills/impeccable/reference/responsive-design.md                                                     | Markdown           |         83 |          0 |         32 |        115 |
| /home/dharon/watum/.agents/skills/impeccable/reference/spatial-design.md                                                        | Markdown           |         66 |          0 |         35 |        101 |
| /home/dharon/watum/.agents/skills/impeccable/reference/typography.md                                                            | Markdown           |         93 |          0 |         50 |        143 |
| /home/dharon/watum/.agents/skills/impeccable/reference/ux-writing.md                                                            | Markdown           |         69 |          0 |         39 |        108 |
| /home/dharon/watum/.agents/skills/impeccable/scripts/cleanup-deprecated.mjs                                                     | JavaScript         |        147 |         56 |         23 |        226 |
| /home/dharon/watum/.agents/skills/layout/SKILL.md                                                                               | Markdown           |         90 |          0 |         35 |        125 |
| /home/dharon/watum/.agents/skills/optimize/SKILL.md                                                                             | Markdown           |        218 |          0 |         48 |        266 |
| /home/dharon/watum/.agents/skills/overdrive/SKILL.md                                                                            | Markdown           |         99 |          0 |         43 |        142 |
| /home/dharon/watum/.agents/skills/polish/SKILL.md                                                                               | Markdown           |        170 |          0 |         54 |        224 |
| /home/dharon/watum/.agents/skills/quieter/SKILL.md                                                                              | Markdown           |         77 |          0 |         26 |        103 |
| /home/dharon/watum/.agents/skills/shape/SKILL.md                                                                                | Markdown           |         65 |          0 |         31 |         96 |
| /home/dharon/watum/.agents/skills/typeset/SKILL.md                                                                              | Markdown           |         85 |          0 |         31 |        116 |
| /home/dharon/watum/.agents/skills/uncodixfy/README.md                                                                           | Markdown           |         46 |          0 |         31 |         77 |
| /home/dharon/watum/.agents/skills/uncodixfy/SKILL.md                                                                            | Markdown           |        162 |          0 |         33 |        195 |
| /home/dharon/watum/.agents/skills/uncodixfy/Uncodixfy.md                                                                        | Markdown           |        158 |          0 |         32 |        190 |
| /home/dharon/watum/.dockerignore                                                                                                | Ignore             |         17 |          0 |          1 |         18 |
| /home/dharon/watum/.impeccable.md                                                                                               | Markdown           |         13 |          0 |          9 |         22 |
| /home/dharon/watum/.kilo/package-lock.json                                                                                      | JSON               |        115 |          0 |          1 |        116 |
| /home/dharon/watum/.kilo/plans/1776432473747-eager-wolf.md                                                                      | Markdown           |         83 |          0 |         37 |        120 |
| /home/dharon/watum/.kilo/skills/find-skills/SKILL.md                                                                            | Markdown           |         95 |          0 |         48 |        143 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/SKILL.md                                                                      | Markdown           |        112 |          0 |         46 |        158 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/create-prompt.md                                         | Markdown           |         69 |          0 |         21 |         90 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/create.md                                                | Markdown           |        167 |          0 |         73 |        240 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/references/agent-tools.md                                | Markdown           |         30 |          0 |         16 |         46 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/references/agentframework.md                             | Markdown           |         57 |          0 |         36 |         93 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/references/sdk-operations.md                             | Markdown           |         35 |          0 |         13 |         48 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/references/tool-azure-ai-search.md                       | Markdown           |         50 |          0 |         20 |         70 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/references/tool-bing-grounding.md                        | Markdown           |         36 |          0 |         15 |         51 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/references/tool-file-search.md                           | Markdown           |         44 |          0 |         17 |         61 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/references/tool-mcp.md                                   | Markdown           |         46 |          0 |         21 |         67 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/references/tool-memory.md                                | Markdown           |         81 |          0 |         29 |        110 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/create/references/tool-web-search.md                            | Markdown           |         38 |          0 |         20 |         58 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/deploy/deploy.md                                                | Markdown           |        283 |          0 |        124 |        407 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/eval-datasets.md                                  | Markdown           |         84 |          0 |         27 |        111 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/references/dataset-comparison.md                  | Markdown           |         73 |          0 |         31 |        104 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/references/dataset-curation.md                    | Markdown           |         74 |          0 |         29 |        103 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/references/dataset-organization.md                | Markdown           |         78 |          0 |         35 |        113 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/references/dataset-versioning.md                  | Markdown           |        142 |          0 |         40 |        182 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/references/eval-lineage.md                        | Markdown           |        106 |          0 |         22 |        128 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/references/eval-regression.md                     | Markdown           |         93 |          0 |         29 |        122 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/references/eval-trending.md                       | Markdown           |         66 |          0 |         30 |         96 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/references/generate-seed-dataset.md               | Markdown           |        138 |          0 |         44 |        182 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/eval-datasets/references/trace-to-dataset.md                    | Markdown           |        306 |          0 |         88 |        394 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/invoke/invoke.md                                                | Markdown           |         69 |          0 |         30 |         99 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/observe/observe.md                                              | Markdown           |         85 |          0 |         25 |        110 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/observe/references/analyze-results.md                           | Markdown           |         96 |          0 |         40 |        136 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/observe/references/cicd-monitoring.md                           | Markdown           |         23 |          0 |         14 |         37 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/observe/references/compare-iterate.md                           | Markdown           |         36 |          0 |         17 |         53 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/observe/references/deploy-and-setup.md                          | Markdown           |         72 |          0 |         35 |        107 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/observe/references/evaluate-step.md                             | Markdown           |         45 |          0 |         27 |         72 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/observe/references/optimize-deploy.md                           | Markdown           |         20 |          0 |         13 |         33 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/trace/references/analyze-failures.md                            | Markdown           |         90 |          0 |         20 |        110 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/trace/references/analyze-latency.md                             | Markdown           |         97 |          0 |         20 |        117 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/trace/references/conversation-detail.md                         | Markdown           |         77 |          0 |         22 |         99 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/trace/references/eval-correlation.md                            | Markdown           |         45 |          0 |         13 |         58 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/trace/references/kql-templates.md                               | Markdown           |        186 |          0 |         36 |        222 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/trace/references/search-traces.md                               | Markdown           |        132 |          0 |         32 |        164 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/trace/trace.md                                                  | Markdown           |         46 |          0 |         16 |         62 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/foundry-agent/troubleshoot/troubleshoot.md                                    | Markdown           |         66 |          0 |         31 |         97 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/SKILL.md                                                  | Markdown           |        110 |          0 |         35 |        145 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/TEST_PROMPTS.md                                           | Markdown           |         60 |          0 |         19 |         79 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/capacity/SKILL.md                                         | Markdown           |        105 |          0 |         42 |        147 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/capacity/scripts/discover_and_rank.ps1                    | PowerShell         |         81 |         20 |         13 |        114 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/capacity/scripts/query_capacity.ps1                       | PowerShell         |         52 |         19 |         10 |         81 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/customize/EXAMPLES.md                                     | Markdown           |         60 |          0 |         31 |         91 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/customize/SKILL.md                                        | Markdown           |        125 |          0 |         43 |        168 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/customize/references/customize-guides.md                  | Markdown           |         96 |          0 |         31 |        127 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/customize/references/customize-workflow.md                | Markdown           |        303 |          0 |        108 |        411 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/preset/EXAMPLES.md                                        | Markdown           |         47 |          0 |         22 |         69 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/preset/SKILL.md                                           | Markdown           |         77 |          0 |         27 |        104 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/preset/references/preset-workflow.md                      | Markdown           |        566 |          0 |        129 |        695 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/preset/references/workflow.md                             | Markdown           |        122 |          0 |         53 |        175 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/models/deploy-model/scripts/generate_deployment_url.ps1                       | PowerShell         |         44 |         14 |         16 |         74 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/project/connections.md                                                        | Markdown           |         44 |          0 |         18 |         62 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/project/create/create-foundry-project.md                                      | Markdown           |         89 |          0 |         46 |        135 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/quota/quota.md                                                                | Markdown           |        134 |          0 |         53 |        187 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/quota/references/capacity-planning.md                                         | Markdown           |         94 |          0 |         33 |        127 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/quota/references/error-resolution.md                                          | Markdown           |        102 |          0 |         44 |        146 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/quota/references/optimization.md                                              | Markdown           |        119 |          0 |         50 |        169 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/quota/references/ptu-guide.md                                                 | Markdown           |        120 |          0 |         33 |        153 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/quota/references/troubleshooting.md                                           | Markdown           |        163 |          0 |         49 |        212 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/quota/references/workflows.md                                                 | Markdown           |        138 |          0 |         39 |        177 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/rbac/rbac.md                                                                  | Markdown           |        114 |          0 |         43 |        157 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/references/agent-metadata-contract.md                                         | Markdown           |         95 |          0 |         16 |        111 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/references/auth-best-practices.md                                             | Markdown           |         95 |          0 |         36 |        131 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/references/private-network-standard-agent-setup.md                            | Markdown           |         25 |          0 |         16 |         41 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/references/sdk/foundry-sdk-py.md                                              | Markdown           |        210 |          0 |         56 |        266 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/references/standard-agent-setup.md                                            | Markdown           |         33 |          0 |         19 |         52 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/resource/create/create-foundry-resource.md                                    | Markdown           |        108 |          0 |         45 |        153 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/resource/create/references/patterns.md                                        | Markdown           |        103 |          0 |         34 |        137 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/resource/create/references/troubleshooting.md                                 | Markdown           |         69 |          0 |         24 |         93 |
| /home/dharon/watum/.kilo/skills/microsoft-foundry/resource/create/references/workflows.md                                       | Markdown           |        175 |          0 |         63 |        238 |
| /home/dharon/watum/.kilocode/package-lock.json                                                                                  | JSON               |        115 |          0 |          1 |        116 |
| /home/dharon/watum/.kilocode/skills/adapt/SKILL.md                                                                              | Markdown           |        151 |          0 |         48 |        199 |
| /home/dharon/watum/.kilocode/skills/animate/SKILL.md                                                                            | Markdown           |        137 |          0 |         38 |        175 |
| /home/dharon/watum/.kilocode/skills/audit/SKILL.md                                                                              | Markdown           |        104 |          0 |         44 |        148 |
| /home/dharon/watum/.kilocode/skills/bolder/SKILL.md                                                                             | Markdown           |         88 |          0 |         29 |        117 |
| /home/dharon/watum/.kilocode/skills/clarify/SKILL.md                                                                            | Markdown           |        140 |          0 |         43 |        183 |
| /home/dharon/watum/.kilocode/skills/colorize/SKILL.md                                                                           | Markdown           |        108 |          0 |         35 |        143 |
| /home/dharon/watum/.kilocode/skills/critique/SKILL.md                                                                           | Markdown           |        159 |          0 |         66 |        225 |
| /home/dharon/watum/.kilocode/skills/critique/reference/cognitive-load.md                                                        | Markdown           |         77 |          0 |         30 |        107 |
| /home/dharon/watum/.kilocode/skills/critique/reference/heuristics-scoring.md                                                    | Markdown           |        183 |          0 |         52 |        235 |
| /home/dharon/watum/.kilocode/skills/critique/reference/personas.md                                                              | Markdown           |        133 |          0 |         46 |        179 |
| /home/dharon/watum/.kilocode/skills/delight/SKILL.md                                                                            | Markdown           |        238 |          0 |         66 |        304 |
| /home/dharon/watum/.kilocode/skills/distill/SKILL.md                                                                            | Markdown           |         93 |          0 |         29 |        122 |
| /home/dharon/watum/.kilocode/skills/impeccable/SKILL.md                                                                         | Markdown           |        252 |          0 |        119 |        371 |
| /home/dharon/watum/.kilocode/skills/impeccable/reference/color-and-contrast.md                                                  | Markdown           |         65 |          0 |         41 |        106 |
| /home/dharon/watum/.kilocode/skills/impeccable/reference/craft.md                                                               | Markdown           |         48 |          0 |         23 |         71 |
| /home/dharon/watum/.kilocode/skills/impeccable/reference/extract.md                                                             | Markdown           |         47 |          0 |         24 |         71 |
| /home/dharon/watum/.kilocode/skills/impeccable/reference/interaction-design.md                                                  | Markdown           |        133 |          3 |         60 |        196 |
| /home/dharon/watum/.kilocode/skills/impeccable/reference/motion-design.md                                                       | Markdown           |         66 |          0 |         34 |        100 |
| /home/dharon/watum/.kilocode/skills/impeccable/reference/responsive-design.md                                                   | Markdown           |         83 |          0 |         32 |        115 |
| /home/dharon/watum/.kilocode/skills/impeccable/reference/spatial-design.md                                                      | Markdown           |         66 |          0 |         35 |        101 |
| /home/dharon/watum/.kilocode/skills/impeccable/reference/typography.md                                                          | Markdown           |         93 |          0 |         50 |        143 |
| /home/dharon/watum/.kilocode/skills/impeccable/reference/ux-writing.md                                                          | Markdown           |         69 |          0 |         39 |        108 |
| /home/dharon/watum/.kilocode/skills/impeccable/scripts/cleanup-deprecated.mjs                                                   | JavaScript         |        147 |         56 |         23 |        226 |
| /home/dharon/watum/.kilocode/skills/layout/SKILL.md                                                                             | Markdown           |         90 |          0 |         35 |        125 |
| /home/dharon/watum/.kilocode/skills/optimize/SKILL.md                                                                           | Markdown           |        218 |          0 |         48 |        266 |
| /home/dharon/watum/.kilocode/skills/overdrive/SKILL.md                                                                          | Markdown           |         99 |          0 |         43 |        142 |
| /home/dharon/watum/.kilocode/skills/polish/SKILL.md                                                                             | Markdown           |        170 |          0 |         54 |        224 |
| /home/dharon/watum/.kilocode/skills/quieter/SKILL.md                                                                            | Markdown           |         77 |          0 |         26 |        103 |
| /home/dharon/watum/.kilocode/skills/shape/SKILL.md                                                                              | Markdown           |         65 |          0 |         31 |         96 |
| /home/dharon/watum/.kilocode/skills/typeset/SKILL.md                                                                            | Markdown           |         85 |          0 |         31 |        116 |
| /home/dharon/watum/.kilocode/skills/uncodixfy/README.md                                                                         | Markdown           |         46 |          0 |         31 |         77 |
| /home/dharon/watum/.kilocode/skills/uncodixfy/SKILL.md                                                                          | Markdown           |        162 |          0 |         33 |        195 |
| /home/dharon/watum/.kilocode/skills/uncodixfy/Uncodixfy.md                                                                      | Markdown           |        158 |          0 |         32 |        190 |
| /home/dharon/watum/.prettierignore                                                                                              | Ignore             |          7 |          3 |          3 |         13 |
| /home/dharon/watum/.prettierrc                                                                                                  | JSON               |         16 |          0 |          1 |         17 |
| /home/dharon/watum/BACKEND_GUIDE.md                                                                                             | Markdown           |      2,054 |          0 |        376 |      2,430 |
| /home/dharon/watum/CONFLICT_AUDIT_ARCHITECTURE.md                                                                               | Markdown           |        239 |          0 |         92 |        331 |
| /home/dharon/watum/DOCUMENTATION.md                                                                                             | Markdown           |      1,191 |          2 |        433 |      1,626 |
| /home/dharon/watum/Dockerfile                                                                                                   | Docker             |         26 |          2 |         11 |         39 |
| /home/dharon/watum/MYSQL2_PATTERNS.md                                                                                           | Markdown           |        265 |          0 |         52 |        317 |
| /home/dharon/watum/README.md                                                                                                    | Markdown           |         86 |          0 |         39 |        125 |
| /home/dharon/watum/bench.js                                                                                                     | JavaScript         |         35 |          2 |          6 |         43 |
| /home/dharon/watum/components.json                                                                                              | JSON               |         20 |          0 |          1 |         21 |
| /home/dharon/watum/docs/REMOTE_FUNCTIONS_GUIDE.md                                                                               | Markdown           |        315 |          2 |         82 |        399 |
| /home/dharon/watum/eslint.config.js                                                                                             | JavaScript         |         49 |          2 |          3 |         54 |
| /home/dharon/watum/kelompok10_akademik_b (1).md                                                                                 | Markdown           |          5 |          0 |          6 |         11 |
| /home/dharon/watum/live-test-page-snapshot.md                                                                                   | Markdown           |         63 |          0 |          0 |         63 |
| /home/dharon/watum/login-network.json                                                                                           | JSON               |          4 |          0 |          0 |          4 |
| /home/dharon/watum/package-lock.json                                                                                            | JSON               |      6,041 |          0 |          1 |      6,042 |
| /home/dharon/watum/package.json                                                                                                 | JSON               |         70 |          0 |          1 |         71 |
| /home/dharon/watum/performance/benchmark-report-4173-optimized/index.html                                                       | HTML               |        255 |          0 |          0 |        255 |
| /home/dharon/watum/performance/benchmark-report-4173-optimized/statistics.json                                                  | JSON               |        290 |          0 |          0 |        290 |
| /home/dharon/watum/performance/benchmark-report-4173/index.html                                                                 | HTML               |        138 |          0 |          0 |        138 |
| /home/dharon/watum/performance/benchmark-report-4173/statistics.json                                                            | JSON               |        146 |          0 |          0 |        146 |
| /home/dharon/watum/performance/benchmark-report-final/index.html                                                                | HTML               |        255 |          0 |          0 |        255 |
| /home/dharon/watum/performance/benchmark-report-final/statistics.json                                                           | JSON               |        290 |          0 |          0 |        290 |
| /home/dharon/watum/performance/benchmark-report-final2/index.html                                                               | HTML               |        138 |          0 |          0 |        138 |
| /home/dharon/watum/performance/benchmark-report-final2/statistics.json                                                          | JSON               |        146 |          0 |          0 |        146 |
| /home/dharon/watum/performance/benchmark-report/index.html                                                                      | HTML               |        255 |          0 |          0 |        255 |
| /home/dharon/watum/performance/benchmark-report/statistics.json                                                                 | JSON               |        290 |          0 |          0 |        290 |
| /home/dharon/watum/performance/report-new/content/css/dashboard.css                                                             | PostCSS            |         30 |         16 |          3 |         49 |
| /home/dharon/watum/performance/report-new/content/css/jquery-ui.min.css                                                         | PostCSS            |          1 |          5 |          1 |          7 |
| /home/dharon/watum/performance/report-new/content/css/jquery-ui.structure.min.css                                               | PostCSS            |          1 |          3 |          1 |          5 |
| /home/dharon/watum/performance/report-new/content/css/jquery-ui.theme.min.css                                                   | PostCSS            |          1 |          3 |          1 |          5 |
| /home/dharon/watum/performance/report-new/content/css/legends.css                                                               | PostCSS            |         36 |         17 |          9 |         62 |
| /home/dharon/watum/performance/report-new/content/css/theme.blue.css                                                            | PostCSS            |        179 |         43 |         12 |        234 |
| /home/dharon/watum/performance/report-new/content/js/curvedLines.js                                                             | JavaScript         |        274 |        134 |         76 |        484 |
| /home/dharon/watum/performance/report-new/content/js/customGraph.js                                                             | JavaScript         |         24 |         16 |         10 |         50 |
| /home/dharon/watum/performance/report-new/content/js/dashboard-commons.js                                                       | JavaScript         |        299 |        108 |         55 |        462 |
| /home/dharon/watum/performance/report-new/content/js/dashboard.js                                                               | JavaScript         |        166 |         47 |         23 |        236 |
| /home/dharon/watum/performance/report-new/content/js/graph.js                                                                   | JavaScript         |      1,299 |         70 |         48 |      1,417 |
| /home/dharon/watum/performance/report-new/content/js/hashtable.js                                                               | JavaScript         |        298 |         45 |         59 |        402 |
| /home/dharon/watum/performance/report-new/content/js/jquery-ui.min.js                                                           | JavaScript         |          8 |          4 |          1 |         13 |
| /home/dharon/watum/performance/report-new/content/js/jquery.cookie.js                                                           | JavaScript         |         72 |         22 |         24 |        118 |
| /home/dharon/watum/performance/report-new/content/js/jquery.flot.stack.js                                                       | JavaScript         |         30 |         44 |         10 |         84 |
| /home/dharon/watum/performance/report-new/content/js/jquery.numberformatter-1.2.3.min.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| /home/dharon/watum/performance/report-new/content/js/jquery.tablesorter.min.js                                                  | JavaScript         |          2 |          0 |          0 |          2 |
| /home/dharon/watum/performance/report-new/content/pages/CustomsGraphs.html                                                      | HTML               |        124 |         21 |         32 |        177 |
| /home/dharon/watum/performance/report-new/content/pages/OverTime.html                                                           | HTML               |        427 |         47 |         39 |        513 |
| /home/dharon/watum/performance/report-new/content/pages/ResponseTimes.html                                                      | HTML               |        304 |         34 |         36 |        374 |
| /home/dharon/watum/performance/report-new/content/pages/Throughput.html                                                         | HTML               |        391 |         37 |         36 |        464 |
| /home/dharon/watum/performance/report-new/index.html                                                                            | HTML               |        173 |         12 |         19 |        204 |
| /home/dharon/watum/performance/report-new/sbadmin2-1.0.7/README.md                                                              | Markdown           |         16 |          0 |         12 |         28 |
| /home/dharon/watum/performance/report-new/sbadmin2-1.0.7/bower.json                                                             | JSON               |         39 |          0 |          1 |         40 |
| /home/dharon/watum/performance/report-new/sbadmin2-1.0.7/bower_components/bootstrap/.bower.json                                 | JSON               |         48 |          0 |          0 |         48 |
