"filename", "language", "TypeScript", "HTML", "Svelte", "MS SQL", "Markdown", "XML", "PostCSS", "comment", "blank", "total"
"/home/dharon/watum/src/lib/server/migrations/001_schema.sql", "MS SQL", 0, 0, 0, 138, 0, 0, 0, 43, 30, 211
"/home/dharon/watum/src/lib/server/migrations/002_refresh_tokens.sql", "MS SQL", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"/home/dharon/watum/src/lib/server/migrations/003_refresh_tokens_user_context_index.sql", "MS SQL", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/home/dharon/watum/src/lib/server/migrations/004_schedule_overlap_indexes.sql", "MS SQL", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/home/dharon/watum/src/lib/server/migrations/005_large_dataset_indexes.sql", "MS SQL", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/home/dharon/watum/src/lib/server/migrations/006_enrollment_keyset_indexes.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/dharon/watum/src/lib/server/migrations/007_enrollment_academic_year_index.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/dharon/watum/src/lib/server/migrations/008_conflict_audit_indexes.sql", "MS SQL", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/dharon/watum/src/lib/server/migrations/009_conflict_audit_scale_indexes.sql", "MS SQL", 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/home/dharon/watum/src/lib/server/migrations/010_conflict_audit_schema_shrink.sql", "MS SQL", 0, 0, 0, 100, 0, 0, 0, 0, 26, 126
"/home/dharon/watum/src/lib/server/migrations/011_conflict_audit_integer_keys.sql", "MS SQL", 0, 0, 0, 133, 0, 0, 0, 0, 23, 156
"/home/dharon/watum/src/lib/server/migrations/012_conflict_audit_denormalized.sql", "MS SQL", 0, 0, 0, 58, 0, 0, 0, 7, 11, 76
"/home/dharon/watum/src/lib/server/migrations/013_drop_redundant_indexes.sql", "MS SQL", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/home/dharon/watum/src/lib/server/migrations/014_restore_redundant_indexes.sql", "MS SQL", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/home/dharon/watum/src/lib/server/migrations/015_drop_superseded_audit_indexes.sql", "MS SQL", 0, 0, 0, 5, 0, 0, 0, 6, 2, 13
"/home/dharon/watum/src/lib/server/migrations/016_fulltext_name_indexes.sql", "MS SQL", 0, 0, 0, 6, 0, 0, 0, 4, 2, 12
"/home/dharon/watum/src/lib/server/migrations/017_time_columns.sql", "MS SQL", 0, 0, 0, 57, 0, 0, 0, 6, 12, 75
"/home/dharon/watum/src/lib/server/migrations/018_covering_conflict_audit_indexes.sql", "MS SQL", 0, 0, 0, 9, 0, 0, 0, 3, 5, 17
"/home/dharon/watum/src/lib/server/migrations/018_optimize_triggers.sql", "MS SQL", 0, 0, 0, 58, 0, 0, 0, 3, 12, 73
"/home/dharon/watum/src/lib/server/migrations/019_drop_courses_au_trigger.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 3, 2, 6
"/home/dharon/watum/src/lib/server/migrations/020_recreate_courses_au_trigger.sql", "MS SQL", 0, 0, 0, 15, 0, 0, 0, 3, 5, 23
